"filename", "language", "XML", "Markdown", "C#", "Python", "JSON", "ShaderLab", "HLSL", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Shaders\3DText.shader", "ShaderLab", 0, 0, 0, 0, 0, -17, 0, 0, -2, -19
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 0, 0, 0, -109, 0, -2, -33, -144
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, -112, 0, -3, -31, -146
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 0, 0, 0, -109, 0, -2, -33, -144
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 0, 0, 0, -243, 0, -4, -71, -318
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 0, 0, 0, -241, 0, -4, -66, -311
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 0, 0, 0, -188, 0, -10, -50, -248
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 0, 0, 0, -183, 0, -8, -50, -241
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 0, 0, 0, -82, 0, -4, -21, -107
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, -183, 0, -8, -50, -241
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, -103, 0, -8, -28, -139
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 0, 0, -122, 0, -4, -33, -159
